pa_id,game_id,pa_result,base_state,score_diff,pitcher_name,pitcher_hand,pitch_count,rbi,runs_scored,exit_velocity,launch_angle,hit_distance,Bat Speed,spray_direction,batted_ball_type,hard_hit,role,pitch_velo,pitch_type
20260326_MIL_PA1,20260326_MIL,Walk,000,+1,Jacob Misiorowski,R,6,0,0,0,0,0,0,0,,FALSE,Starter,98.5,FF
20260326_MIL_PA2,20260326_MIL,Walk,100,-5,Jacob Misiorowski,R,6,0,0,0,0,0,0,0,,FALSE,Starter,86.8,CU
20260326_MIL_PA3,20260326_MIL,Groundout,000,-13,Grant Anderson,R,3,0,0,96.9,4,78,76.1,Pull,Ground Ball,TRUE,Starter,92.1,FF
20260326_MIL_PA4,20260326_MIL,Home Run,000,-13,Jake Woodford,R,3,1,1,103,31,384,76.3,Pull,Fly Ball,TRUE,Starter,90.5,FC
20260328_MIL_PA1,20260328_MIL,Walk,100,0,Chad Patrick,R,6,0,0,0,0,0,0,0,,FALSE,Starter,94.2,SI
20260328_MIL_PA2,20260328_MIL,Home Run,000,-4,Chad Patrick,R,1,1,1,102.9,31,409,79.6,Center,Fly Ball,TRUE,Starter,91.8,FF
20260328_MIL_PA3,20260328_MIL,Strikeout S,011,-3,Aaron Ashby,L,5,0,0,0,0,0,60.7,0,,FALSE,Starter,86.2,SL
20260328_MIL_PA4,20260328_MIL,Groundout,000,-5,Abner Uribe,R,3,0,0,64.9,-55,3,66.8,Center,Ground Ball,FALSE,Starter,97,SI
20260329_MIL_PA1,20260329_MIL,Walk,100,0,Brandon Sproat,R,7,0,1,0,0,0,0,0,,FALSE,Starter,98.5,SI
20260329_MIL_PA2,20260329_MIL,Home Run,000,+2,Brandon Sproat,R,7,1,1,102.1,38,375,75.4,Pull,Fly Ball,TRUE,Starter,93.2,FC
20260329_MIL_PA3,20260329_MIL,Strikeout L,000,+5,Grant Anderson,R,6,0,0,0,0,0,0,0,,FALSE,Starter,91.8,SI
20260329_MIL_PA4,20260329_MIL,Strikeout L,000,+5,Jared Koenig,L,4,0,0,0,0,0,0,0,,FALSE,Starter,96.8,SI
20260329_MIL_PA5,20260329_MIL,Strikeout S,100,-2,Trevor Megill,R,4,0,0,0,0,0,65.6,0,,FALSE,Starter,98.4,FF
20260330_MIA_PA1,20260330_MIA,Groundout,000,0,Chris Paddack,R,3,0,0,69.2,-16,10,76.5,Pull,Ground Ball,FALSE,Starter,85.4,CH
20260330_MIA_PA2,20260330_MIA,Single,100,+1,Chris Paddack,R,4,0,1,53.8,-54,3,72.3,Center,Ground Ball,FALSE,Starter,85.4,CH
20260330_MIA_PA3,20260330_MIA,Strikeout S,000,+8,Chris Paddack,R,5,0,0,0,0,0,76.3,0,,FALSE,Starter,84.8,CH
20260330_MIA_PA4,20260330_MIA,Flyout,000,+6,Lake Bachar,R,1,0,0,99.8,60,219,76.2,Opposite,Popup,TRUE,Starter,95.9,FF
20260330_MIA_PA5,20260330_MIA,Flyout,000,+5,Michael Petersen,R,1,0,0,86.1,30,297,69.6,Center,Fly Ball,FALSE,Starter,97.2,FF
20260331_MIA_PA1,20260331_MIA,Groundout,000,0,Janson Junk,R,5,0,0,104.9,-2,36,79.6,Pull,Ground Ball,TRUE,Starter,96.5,FF
20260331_MIA_PA2,20260331_MIA,Single,110,0,Janson Junk,R,3,1,0,106.2,-2,24,81.5,Pull,Ground Ball,TRUE,Starter,88.4,SL
20260331_MIA_PA3,20260331_MIA,Strikeout S,000,-2,Andrew Nardi,L,4,0,0,0,0,0,65,0,,FALSE,Starter,84.1,SL
20260331_MIA_PA4,20260331_MIA,Strikeout L,000,-4,Calvin Faucher,R,6,0,0,0,0,0,0,0,,FALSE,Starter,93.5,FC
20260401_MIA_PA1,20260401_MIA,Flyout,000,0,Sandy Alcantara,R,1,0,0,105.1,39,369,74.8,Center,Fly Ball,TRUE,Starter,97.2,SI
20260401_MIA_PA2,20260401_MIA,Strikeout S,100,-6,Sandy Alcantara,R,6,0,0,0,0,0,64.1,0,,FALSE,Starter,85.6,SL
20260401_MIA_PA3,20260401_MIA,Strikeout S,000,-8,Sandy Alcantara,R,4,0,0,0,0,0,75,0,,FALSE,Starter,92.5,CH
20260403_TOR_PA1,20260403_TOR,Single,100,0,Dylan Cease,R,3,0,0,107.5,15,307,77.4,Center,Line Drive,TRUE,Starter,98.9,FF
20260403_TOR_PA2,20260403_TOR,Strikeout S,000,0,Dylan Cease,R,6,0,0,0,0,0,66.4,0,,FALSE,Starter,87.9,SL
20260403_TOR_PA3,20260403_TOR,Groundout,100,+2,Dylan Cease,R,1,0,0,75,-9,10,71.5,Opposite,Ground Ball,FALSE,Starter,83.2,SL
20260403_TOR_PA4,20260403_TOR,Strikeout L,000,+2,Brendon Little,L,7,0,0,0,0,0,0,0,,FALSE,Starter,87.7,CU
20260403_TOR_PA5,20260403_TOR,Intentional Walk,010,0,Tyler Rogers,R,0,0,0,0,0,0,0,0,,FALSE,Starter, ,0
